,Iteration,Time,Fitness,Restarts,max_iters,current_restart
320,320,0.14525490000000119,26.0,10,100,2
321,321,0.14567620000000048,26.0,10,100,2
322,322,0.1459243999999984,26.0,10,100,2
323,323,0.14623339999999985,26.0,10,100,2
324,324,0.14647760000000076,26.0,10,100,2
325,325,0.14668980000000076,26.0,10,100,2
326,326,0.14688719999999833,26.0,10,100,2
327,327,0.1470942000000015,26.0,10,100,2
328,328,0.14729379999999992,26.0,10,100,2
329,329,0.14749180000000095,26.0,10,100,2
330,330,0.14768940000000086,26.0,10,100,2
331,331,0.14788289999999904,26.0,10,100,2
332,332,0.14808550000000054,26.0,10,100,2
333,333,0.14830759999999898,26.0,10,100,2
334,334,0.14854190000000145,26.0,10,100,2
335,335,0.1488127999999982,26.0,10,100,2
336,336,0.1490347000000014,26.0,10,100,2
337,337,0.14926499999999976,26.0,10,100,2
338,338,0.1494661999999991,26.0,10,100,2
339,339,0.14966850000000065,26.0,10,100,2
340,340,0.14988280000000032,26.0,10,100,2
341,341,0.1500932000000006,26.0,10,100,2
342,342,0.15028879999999845,26.0,10,100,2
343,343,0.1504835,26.0,10,100,2
344,344,0.15067919999999901,26.0,10,100,2
345,345,0.15088240000000042,26.0,10,100,2
346,346,0.1510864000000005,26.0,10,100,2
347,347,0.1512613999999992,26.0,10,100,2
348,348,0.1513922000000001,26.0,10,100,2
349,349,0.15151829999999933,26.0,10,100,2
350,350,0.1516467999999982,26.0,10,100,2
351,351,0.15177759999999907,26.0,10,100,2
352,352,0.1519055999999992,26.0,10,100,2
353,353,0.1520417000000016,26.0,10,100,2
354,354,0.1799488999999994,26.0,10,100,2
355,355,0.18018179999999973,26.0,10,100,2
356,356,0.18039810000000145,26.0,10,100,2
357,357,0.18060279999999906,26.0,10,100,2
358,358,0.18080910000000117,26.0,10,100,2
359,359,0.18102779999999896,26.0,10,100,2
360,360,0.18123310000000004,26.0,10,100,2
361,361,0.18144260000000045,26.0,10,100,2
362,362,0.18165309999999835,26.0,10,100,2
363,363,0.18186389999999975,26.0,10,100,2
364,364,0.18208119999999894,26.0,10,100,2
365,365,0.18243640000000028,26.0,10,100,2
366,366,0.1827444999999983,26.0,10,100,2
367,367,0.18307479999999998,26.0,10,100,2
368,368,0.18330170000000123,26.0,10,100,2
369,369,0.18350750000000104,26.0,10,100,2
370,370,0.1837081999999981,26.0,10,100,2
371,371,0.18390139999999988,26.0,10,100,2
372,372,0.184104099999999,26.0,10,100,2
373,373,0.18472579999999894,26.0,10,100,2
374,374,0.18491879999999838,26.0,10,100,2
375,375,0.18511140000000026,26.0,10,100,2
376,376,0.18529219999999924,26.0,10,100,2
377,377,0.18547069999999977,26.0,10,100,2
378,378,0.18565690000000146,26.0,10,100,2
379,379,0.18585309999999922,26.0,10,100,2
380,380,0.18604729999999847,26.0,10,100,2
381,381,0.18623699999999843,26.0,10,100,2
382,382,0.18662069999999886,26.0,10,100,2
383,383,0.1868748999999994,26.0,10,100,2
384,384,0.18941269999999832,26.0,10,100,2
385,385,0.1897196000000001,26.0,10,100,2
386,386,0.18995980000000046,26.0,10,100,2
387,387,0.19020180000000053,26.0,10,100,2
388,388,0.19042419999999893,26.0,10,100,2
389,389,0.19064690000000084,26.0,10,100,2
390,390,0.1908960999999998,26.0,10,100,2
391,391,0.1928005000000006,26.0,10,100,2
392,392,0.19307639999999893,26.0,10,100,2
393,393,0.19332729999999998,26.0,10,100,2
394,394,0.19355410000000006,26.0,10,100,2
395,395,0.19376940000000076,26.0,10,100,2
396,396,0.19398040000000094,26.0,10,100,2
397,397,0.19423300000000054,26.0,10,100,2
398,398,0.19446359999999885,26.0,10,100,2
399,399,0.19470000000000098,26.0,10,100,2
400,400,0.19492449999999906,19.0,10,100,3
401,401,0.1951627000000009,20.0,10,100,3
402,402,0.19538289999999847,23.0,10,100,3
403,403,0.19560050000000118,23.0,10,100,3
404,404,0.22759130000000027,24.0,10,100,3
405,405,0.23016589999999937,24.0,10,100,3
406,406,0.2307068000000001,24.0,10,100,3
407,407,0.23112640000000084,24.0,10,100,3
408,408,0.2313453999999986,24.0,10,100,3
409,409,0.2316722999999996,24.0,10,100,3
410,410,0.23189239999999955,24.0,10,100,3
411,411,0.23227440000000144,24.0,10,100,3
412,412,0.2325216999999995,24.0,10,100,3
413,413,0.23276939999999868,24.0,10,100,3
414,414,0.23299940000000063,24.0,10,100,3
415,415,0.2332302999999989,25.0,10,100,3
416,416,0.23344549999999842,25.0,10,100,3
417,417,0.23365460000000127,25.0,10,100,3
418,418,0.23401589999999928,25.0,10,100,3
419,419,0.23424819999999968,25.0,10,100,3
420,420,0.23458610000000135,25.0,10,100,3
421,421,0.23480809999999863,25.0,10,100,3
422,422,0.23504510000000067,25.0,10,100,3
423,423,0.2353355999999991,25.0,10,100,3
424,424,0.23557070000000024,25.0,10,100,3
425,425,0.23579850000000135,25.0,10,100,3
426,426,0.23604979999999998,25.0,10,100,3
427,427,0.23627499999999912,25.0,10,100,3
428,428,0.23650539999999864,25.0,10,100,3
429,429,0.23691279999999892,25.0,10,100,3
430,430,0.23716419999999871,25.0,10,100,3
431,431,0.23738699999999824,25.0,10,100,3
432,432,0.23760779999999926,25.0,10,100,3
433,433,0.23782699999999934,25.0,10,100,3
434,434,0.23805630000000022,25.0,10,100,3
435,435,0.23827909999999974,25.0,10,100,3
436,436,0.23851020000000034,25.0,10,100,3
437,437,0.23872940000000042,25.0,10,100,3
438,438,0.23894849999999934,25.0,10,100,3
439,439,0.23918270000000064,25.0,10,100,3
440,440,0.23940749999999866,25.0,10,100,3
441,441,0.23962900000000076,25.0,10,100,3
442,442,0.23983989999999977,26.0,10,100,3
443,443,0.24007990000000135,26.0,10,100,3
444,444,0.24030559999999923,26.0,10,100,3
445,445,0.24052490000000049,26.0,10,100,3
446,446,0.2407503999999996,26.0,10,100,3
447,447,0.24225230000000053,26.0,10,100,3
448,448,0.24250620000000112,26.0,10,100,3
449,449,0.2427375999999981,26.0,10,100,3
450,450,0.24295610000000067,26.0,10,100,3
451,451,0.24319129999999944,26.0,10,100,3
452,452,0.24341090000000065,26.0,10,100,3
453,453,0.24363169999999812,26.0,10,100,3
454,454,0.24385930000000045,26.0,10,100,3
455,455,0.27561580000000063,26.0,10,100,3
456,456,0.2758485999999998,26.0,10,100,3
457,457,0.27609680000000125,26.0,10,100,3
458,458,0.2763351000000007,26.0,10,100,3
459,459,0.27656379999999814,26.0,10,100,3
460,460,0.2768021999999988,26.0,10,100,3
461,461,0.2770507000000002,26.0,10,100,3
462,462,0.2772900000000007,26.0,10,100,3
463,463,0.2775293000000012,26.0,10,100,3
464,464,0.2777573999999987,26.0,10,100,3
465,465,0.27799209999999874,26.0,10,100,3
466,466,0.27823959999999914,26.0,10,100,3
467,467,0.2784766999999988,26.0,10,100,3
468,468,0.27870980000000145,26.0,10,100,3
469,469,0.2789478999999986,26.0,10,100,3
470,470,0.2792010999999981,26.0,10,100,3
471,471,0.2794395999999999,26.0,10,100,3
472,472,0.27967530000000096,26.0,10,100,3
473,473,0.27991619999999884,26.0,10,100,3
474,474,0.2801626999999982,26.0,10,100,3
475,475,0.2804012,26.0,10,100,3
476,476,0.2806373999999998,26.0,10,100,3
477,477,0.2808755000000005,26.0,10,100,3
478,478,0.28112799999999893,26.0,10,100,3
479,479,0.28136519999999976,26.0,10,100,3
480,480,0.2816472999999995,26.0,10,100,3
481,481,0.2818973999999983,26.0,10,100,3
482,482,0.2821542000000008,26.0,10,100,3
483,483,0.2825203999999992,26.0,10,100,3
484,484,0.28275389999999945,26.0,10,100,3
485,485,0.28298699999999855,26.0,10,100,3
486,486,0.29320690000000127,26.0,10,100,3
487,487,0.29346239999999923,26.0,10,100,3
488,488,0.29369720000000044,26.0,10,100,3
489,489,0.29393500000000117,26.0,10,100,3
490,490,0.29419340000000105,26.0,10,100,3
491,491,0.2944275000000012,26.0,10,100,3
492,492,0.2946649000000008,26.0,10,100,3
493,493,0.2949149999999996,26.0,10,100,3
494,494,0.29517540000000153,26.0,10,100,3
495,495,0.2954174999999992,26.0,10,100,3
496,496,0.29566170000000014,27.0,10,100,3
497,497,0.2959017999999993,27.0,10,100,3
498,498,0.2961905999999992,27.0,10,100,3
499,499,0.2964221999999985,27.0,10,100,3
500,500,0.2966559000000011,21.0,10,100,4
501,501,0.29704890000000006,21.0,10,100,4
502,502,0.2972861999999985,23.0,10,100,4
503,503,0.2975247000000003,23.0,10,100,4
504,504,0.29776550000000057,23.0,10,100,4
505,505,0.33005319999999827,23.0,10,100,4
506,506,0.3328914999999988,23.0,10,100,4
507,507,0.33315299999999937,23.0,10,100,4
508,508,0.3334988999999986,23.0,10,100,4
509,509,0.33373399999999975,24.0,10,100,4
510,510,0.3339861000000006,24.0,10,100,4
511,511,0.33442619999999934,24.0,10,100,4
512,512,0.33466419999999886,24.0,10,100,4
513,513,0.3348987000000001,24.0,10,100,4
514,514,0.33511199999999874,24.0,10,100,4
515,515,0.3354330999999995,24.0,10,100,4
516,516,0.3357399000000001,25.0,10,100,4
517,517,0.33597139999999825,25.0,10,100,4
518,518,0.336201599999999,25.0,10,100,4
519,519,0.3364188000000006,25.0,10,100,4
520,520,0.33665279999999953,25.0,10,100,4
521,521,0.3368745000000004,25.0,10,100,4
522,522,0.33722540000000123,25.0,10,100,4
523,523,0.337444099999999,25.0,10,100,4
524,524,0.33765869999999865,25.0,10,100,4
525,525,0.33788099999999943,25.0,10,100,4
526,526,0.33810569999999984,25.0,10,100,4
527,527,0.33832400000000007,25.0,10,100,4
528,528,0.33854339999999894,25.0,10,100,4
529,529,0.3387622999999991,25.0,10,100,4
530,530,0.3389729999999993,25.0,10,100,4
531,531,0.33921750000000017,25.0,10,100,4
532,532,0.3394376000000001,25.0,10,100,4
533,533,0.3396554000000016,25.0,10,100,4
534,534,0.3398703000000012,25.0,10,100,4
535,535,0.34009400000000056,25.0,10,100,4
536,536,0.3403129000000007,25.0,10,100,4
537,537,0.34053129999999854,25.0,10,100,4
538,538,0.3407410999999989,25.0,10,100,4
539,539,0.34204559999999873,25.0,10,100,4
540,540,0.3423203999999984,25.0,10,100,4
541,541,0.3425571999999981,25.0,10,100,4
542,542,0.34279559999999876,25.0,10,100,4
543,543,0.3430558999999995,25.0,10,100,4
544,544,0.3432794000000001,25.0,10,100,4
545,545,0.3435200000000016,25.0,10,100,4
546,546,0.3437619999999981,25.0,10,100,4
547,547,0.3440012999999986,25.0,10,100,4
548,548,0.3442477000000004,25.0,10,100,4
549,549,0.3444831999999991,25.0,10,100,4
550,550,0.3447256000000003,25.0,10,100,4
551,551,0.3449650999999996,25.0,10,100,4
552,552,0.3452118999999989,25.0,10,100,4
553,553,0.3454580999999983,25.0,10,100,4
554,554,0.34612849999999895,25.0,10,100,4
555,555,0.34667719999999846,25.0,10,100,4
556,556,0.39193579999999884,25.0,10,100,4
557,557,0.39229040000000026,25.0,10,100,4
558,558,0.3925267000000012,25.0,10,100,4
559,559,0.39274149999999963,25.0,10,100,4
560,560,0.3929669000000011,25.0,10,100,4
561,561,0.3933335999999983,25.0,10,100,4
562,562,0.39377629999999897,25.0,10,100,4
563,563,0.3941656000000009,25.0,10,100,4
564,564,0.3945204000000011,25.0,10,100,4
565,565,0.3948487000000007,25.0,10,100,4
566,566,0.3951975999999995,25.0,10,100,4
567,567,0.39551429999999854,25.0,10,100,4
568,568,0.39576299999999875,25.0,10,100,4
569,569,0.3960173999999981,25.0,10,100,4
570,570,0.39626069999999913,25.0,10,100,4
571,571,0.39651950000000014,25.0,10,100,4
572,572,0.3967771000000013,25.0,10,100,4
573,573,0.39705239999999975,25.0,10,100,4
574,574,0.3972964999999995,25.0,10,100,4
575,575,0.39754230000000135,25.0,10,100,4
576,576,0.39777859999999876,25.0,10,100,4
577,577,0.3984145000000012,25.0,10,100,4
578,578,0.3987020000000001,25.0,10,100,4
579,579,0.39895369999999986,25.0,10,100,4
580,580,0.3992153999999992,25.0,10,100,4
581,581,0.3994587000000003,25.0,10,100,4
582,582,0.3997053000000008,25.0,10,100,4
583,583,0.39995520000000084,25.0,10,100,4
584,584,0.4002073999999993,25.0,10,100,4
585,585,0.4004979999999989,25.0,10,100,4
586,586,0.4007788999999988,25.0,10,100,4
587,587,0.40105199999999996,25.0,10,100,4
588,588,0.401295300000001,25.0,10,100,4
589,589,0.40158579999999944,25.0,10,100,4
590,590,0.40185599999999866,25.0,10,100,4
591,591,0.4021575000000013,25.0,10,100,4
592,592,0.40241980000000055,25.0,10,100,4
593,593,0.4028439999999982,25.0,10,100,4
594,594,0.40312219999999854,25.0,10,100,4
595,595,0.4033659000000007,25.0,10,100,4
596,596,0.40361199999999897,25.0,10,100,4
597,597,0.40386970000000133,25.0,10,100,4
598,598,0.4041278999999989,25.0,10,100,4
599,599,0.4043796999999998,25.0,10,100,4
600,600,0.4046245999999982,25.0,10,100,5
601,601,0.4048754999999993,25.0,10,100,5
602,602,0.40513139999999837,25.0,10,100,5
603,603,0.40537760000000134,25.0,10,100,5
604,604,0.4056272000000014,25.0,10,100,5
