,Iteration,Time,Fitness,Temperature,max_iters
162,162,0.20767499999783468,26.0,1.0,8192
163,163,0.20774430000165012,26.0,1.0,8192
164,164,0.2078131000016583,26.0,1.0,8192
165,165,0.20788750000065193,26.0,1.0,8192
166,166,0.20796130000962876,26.0,1.0,8192
167,167,0.20803090000117663,26.0,1.0,8192
168,168,0.208098200004315,26.0,1.0,8192
169,169,0.20820619999722112,26.0,1.0,8192
170,170,0.20827550000103656,26.0,1.0,8192
171,171,0.2083420999988448,26.0,1.0,8192
172,172,0.20841410000866745,26.0,1.0,8192
173,173,0.2085300000035204,26.0,1.0,8192
174,174,0.20860860000539105,26.0,1.0,8192
175,175,0.20867829999770038,26.0,1.0,8192
176,176,0.20874719999847002,26.0,1.0,8192
177,177,0.20881630000076257,26.0,1.0,8192
178,178,0.20888340000237804,26.0,1.0,8192
179,179,0.20898049999959767,26.0,1.0,8192
180,180,0.20906220001052134,26.0,1.0,8192
181,181,0.20913149999978486,26.0,1.0,8192
182,182,0.2092055000102846,26.0,1.0,8192
183,183,0.20927630001096986,26.0,1.0,8192
184,184,0.20934420000412501,26.0,1.0,8192
185,185,0.20943509999779053,26.0,1.0,8192
186,186,0.2095231999992393,26.0,1.0,8192
187,187,0.20959480000601616,26.0,1.0,8192
188,188,0.20966259999840986,26.0,1.0,8192
189,189,0.20972980000078678,26.0,1.0,8192
190,190,0.20979940000688657,26.0,1.0,8192
191,191,0.20986670001002494,26.0,1.0,8192
192,192,0.20993409999937285,26.0,1.0,8192
193,193,0.2100027999986196,26.0,1.0,8192
194,194,0.21009010000852868,26.0,1.0,8192
195,195,0.2101701000065077,26.0,1.0,8192
196,196,0.2102556000027107,26.0,1.0,8192
197,197,0.210337199998321,26.0,1.0,8192
198,198,0.21040840000205208,26.0,1.0,8192
199,199,0.21047689999977592,26.0,1.0,8192
200,200,0.21058939999784343,26.0,1.0,8192
201,201,0.21079789999930654,26.0,1.0,8192
202,202,0.21093690000998322,26.0,1.0,8192
203,203,0.21106929999950808,26.0,1.0,8192
204,204,0.21114070000476204,26.0,1.0,8192
205,205,0.21121239999774843,26.0,1.0,8192
206,206,0.21132889999717008,26.0,1.0,8192
207,207,0.21140290000766981,26.0,1.0,8192
208,208,0.2114748000021791,26.0,1.0,8192
209,209,0.21155690000159666,26.0,1.0,8192
210,210,0.21163099999830592,26.0,1.0,8192
211,211,0.21170050000364427,26.0,1.0,8192
212,212,0.2117690000013681,26.0,1.0,8192
213,213,0.2118375999998534,26.0,1.0,8192
214,214,0.21190840000053868,26.0,1.0,8192
215,215,0.21198390000790823,26.0,1.0,8192
216,216,0.21205480000935495,26.0,1.0,8192
217,217,0.21212510000623297,26.0,1.0,8192
218,218,0.2123957000003429,26.0,1.0,8192
219,219,0.2124921000067843,26.0,1.0,8192
220,220,0.21257630000764038,26.0,1.0,8192
221,221,0.21264730000984855,26.0,1.0,8192
222,222,0.2127187000005506,26.0,1.0,8192
223,223,0.2127904000080889,26.0,1.0,8192
224,224,0.21290399999998044,26.0,1.0,8192
225,225,0.21297659999981988,26.0,1.0,8192
226,226,0.21307110000634566,26.0,1.0,8192
227,227,0.21319470000162255,26.0,1.0,8192
228,228,0.2132670999999391,26.0,1.0,8192
229,229,0.21333810000214726,26.0,1.0,8192
230,230,0.21340819999750238,26.0,1.0,8192
231,231,0.21348000000580214,26.0,1.0,8192
232,232,0.21357259999786038,26.0,1.0,8192
233,233,0.21371039999939967,26.0,1.0,8192
234,234,0.21382489999814425,26.0,1.0,8192
235,235,0.21391040000889916,26.0,1.0,8192
236,236,0.2139857000001939,26.0,1.0,8192
237,237,0.21405710000544786,26.0,1.0,8192
238,238,0.21413160000520293,26.0,1.0,8192
239,239,0.2142013999982737,26.0,1.0,8192
240,240,0.21427180001046509,26.0,1.0,8192
241,241,0.2143425000103889,26.0,1.0,8192
242,242,0.2144323000102304,26.0,1.0,8192
243,243,0.2145584000099916,26.0,1.0,8192
244,244,0.21464590000687167,26.0,1.0,8192
245,245,0.21471749999909662,26.0,1.0,8192
246,246,0.21478920000663493,26.0,1.0,8192
247,247,0.2149082000105409,26.0,1.0,8192
248,248,0.21498230000725016,26.0,1.0,8192
249,249,0.2150930000061635,26.0,1.0,8192
250,250,0.21516990000964142,26.0,1.0,8192
251,251,0.2152429999987362,26.0,1.0,8192
252,252,0.21531349999713711,26.0,1.0,8192
253,253,0.21538580000924412,26.0,1.0,8192
254,254,0.21545650000916794,26.0,1.0,8192
255,255,0.21553670000866987,26.0,1.0,8192
256,256,0.21561140000994783,26.0,1.0,8192
257,257,0.22636600000259932,26.0,1.0,8192
258,258,0.22646469999745023,26.0,1.0,8192
259,259,0.22660960000939667,26.0,1.0,8192
260,260,0.22685880000062753,26.0,1.0,8192
261,261,0.2270478999998886,26.0,1.0,8192
262,262,0.22719840001082048,26.0,1.0,8192
263,263,0.22729450000042561,26.0,1.0,8192
264,264,0.22736970000551082,26.0,1.0,8192
265,265,0.22744410000450443,26.0,1.0,8192
266,266,0.22754220000933856,26.0,1.0,8192
267,267,0.22762960000545718,26.0,1.0,8192
268,268,0.22770129999844357,26.0,1.0,8192
269,269,0.2277788000064902,26.0,1.0,8192
270,270,0.22820290000527166,26.0,1.0,8192
271,271,0.2283142000087537,26.0,1.0,8192
272,272,0.22839390000444837,26.0,1.0,8192
273,273,0.2284698000003118,26.0,1.0,8192
274,274,0.22855090000666678,26.0,1.0,8192
275,275,0.2286259000102291,26.0,1.0,8192
276,276,0.2286988999985624,26.0,1.0,8192
277,277,0.22877050000533927,26.0,1.0,8192
278,278,0.22884090000297874,26.0,1.0,8192
279,279,0.22891240000899415,26.0,1.0,8192
280,280,0.22898390000045765,26.0,1.0,8192
281,281,0.22909930000605527,26.0,1.0,8192
282,282,0.2291733000020031,26.0,1.0,8192
283,283,0.22924570000031963,26.0,1.0,8192
284,284,0.22931890000472777,26.0,1.0,8192
285,285,0.22939240001142025,26.0,1.0,8192
286,286,0.22946390000288375,26.0,1.0,8192
287,287,0.22954240000399295,26.0,1.0,8192
288,288,0.22961720000603236,26.0,1.0,8192
289,289,0.2296900000073947,26.0,1.0,8192
290,290,0.22979150000901427,26.0,1.0,8192
291,291,0.2298789000051329,26.0,1.0,8192
292,292,0.22995520000404213,26.0,1.0,8192
293,293,0.2300324000098044,26.0,1.0,8192
294,294,0.23014359999797307,26.0,1.0,8192
295,295,0.2302310000086436,26.0,1.0,8192
296,296,0.23033210000721738,26.0,1.0,8192
297,297,0.23041879999800585,26.0,1.0,8192
298,298,0.23049210000317544,26.0,1.0,8192
299,299,0.23056910000741482,26.0,1.0,8192
300,300,0.2306422000110615,26.0,1.0,8192
301,301,0.2307139000040479,26.0,1.0,8192
302,302,0.2308740000007674,26.0,1.0,8192
303,303,0.23095920000923797,26.0,1.0,8192
304,304,0.23103249999985565,26.0,1.0,8192
305,305,0.23110660001111683,26.0,1.0,8192
306,306,0.2312203000037698,26.0,1.0,8192
307,307,0.23129450000124052,26.0,1.0,8192
308,308,0.23137020001013298,26.0,1.0,8192
309,309,0.23144329999922775,26.0,1.0,8192
310,310,0.231529299999238,26.0,1.0,8192
311,311,0.23160400000051595,26.0,1.0,8192
312,312,0.23167770000873134,26.0,1.0,8192
313,313,0.2317518000054406,26.0,1.0,8192
314,314,0.23182549999910407,26.0,1.0,8192
315,315,0.2318987000035122,26.0,1.0,8192
316,316,0.23201600000902545,26.0,1.0,8192
317,317,0.2320908999972744,26.0,1.0,8192
318,318,0.2321663000038825,26.0,1.0,8192
319,319,0.23223950000829063,26.0,1.0,8192
320,320,0.23231240001041442,26.0,1.0,8192
321,321,0.23238430000492372,26.0,1.0,8192
