,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
75,0,23.0,7.599999662488699e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999962000073888,1.0,8192
76,1,23.0,0.0013540999934775755,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999322972922579,1.0,8192
77,2,23.0,0.06897870000102557,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9965570057445562,1.0,8192
78,4,24.0,0.1331876999902306,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9933627395655329,1.0,8192
79,8,24.0,0.18985879998945165,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9905519757156852,1.0,8192
80,16,24.0,0.2763498999993317,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9862775284187152,1.0,8192
81,32,25.0,0.346785000001546,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9828102097087039,1.0,8192
82,64,26.0,0.41329339999356307,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9795473811260484,1.0,8192
83,128,26.0,0.4725272999930894,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9766505524241624,1.0,8192
84,256,26.0,0.5607577999908244,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.9723515237044718,1.0,8192
85,512,28.0,0.6343990000023041,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9687778503299612,1.0,8192
86,1024,28.0,0.7473595999908866,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9633215870425504,1.0,8192
87,2048,28.0,0.8691976999980398,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.957470962268335,1.0,8192
88,4096,28.0,0.8691976999980398,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.957470962268335,1.0,8192
89,8192,28.0,0.8691976999980398,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.957470962268335,1.0,8192
90,0,23.0,9.520001185592264e-05,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.999995240010736,1.0,8192
91,1,23.0,0.0005875000060768798,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999706254311372,1.0,8192
92,2,23.0,0.09737680001126137,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9951429935878399,1.0,8192
93,4,24.0,0.21505620000243653,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9893047948052723,1.0,8192
94,8,24.0,0.30374760000268,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9849273666208705,1.0,8192
95,16,24.0,0.3734147000068333,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9815024834585139,1.0,8192
96,32,25.0,0.4484293000132311,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9778280279014422,1.0,8192
97,64,26.0,0.5291571000125259,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9738890875256196,1.0,8192
98,128,26.0,0.6236194000084652,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9693001429554293,1.0,8192
99,256,26.0,0.7135891000070842,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.964949553668911,1.0,8192
100,512,28.0,0.7959709999995539,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9609830096815988,1.0,8192
101,1024,28.0,0.9267556000122568,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.95471942259292,1.0,8192
102,2048,28.0,1.0748773000086658,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9476748081048473,1.0,8192
103,4096,28.0,1.0748773000086658,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9476748081048473,1.0,8192
104,8192,28.0,1.0748773000086658,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9476748081048473,1.0,8192
105,0,23.0,0.0001385000068694353,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999930750236343,1.0,8192
106,1,23.0,0.001477300000260584,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999261377279389,1.0,8192
107,2,23.0,0.09649920000811107,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9951866614206205,1.0,8192
108,4,24.0,0.16832880000583827,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.991618879074432,1.0,8192
109,8,24.0,0.24284829999669455,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.987931006648682,1.0,8192
110,16,24.0,0.33233230000769254,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.9835206794385238,1.0,8192
111,32,25.0,0.40407790000608657,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.979998836071562,1.0,8192
112,64,26.0,0.4949462000076892,"[4, 1, 4, 2, 7, 3, 7, 0]",exponential,1.0,0.05,0.001,0.9755563942301103,1.0,8192
113,128,26.0,0.579174200000125,"[4, 2, 7, 2, 6, 3, 0, 0]",exponential,1.0,0.05,0.001,0.9714565750804945,1.0,8192
114,256,26.0,0.6710891000111587,"[0, 4, 7, 1, 6, 3, 5, 2]",exponential,1.0,0.05,0.001,0.967002251689473,1.0,8192
115,512,28.0,0.776412999999593,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9619232146050363,1.0,8192
116,1024,28.0,0.8952216000034241,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9562259160389593,1.0,8192
117,2048,28.0,1.028083199998946,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9498946835063198,1.0,8192
118,4096,28.0,1.028083199998946,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9498946835063198,1.0,8192
119,8192,28.0,1.028083199998946,"[6, 2, 7, 1, 4, 0, 5, 3]",exponential,1.0,0.05,0.001,0.9498946835063198,1.0,8192
120,0,23.0,0.00013649999164044857,"[5, 3, 4, 0, 7, 1, 3, 5]",exponential,1.0,0.05,0.001,0.9999931750237082,1.0,8192
121,1,23.0,0.0017617999983485788,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9999119138798926,1.0,8192
122,2,23.0,0.19107969998731278,"[5, 3, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.990491509316038,1.0,8192
123,4,24.0,0.2909081999969203,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9855598634429741,1.0,8192
124,8,24.0,0.38361999999324325,"[5, 2, 4, 0, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9810017848498104,1.0,8192
125,16,24.0,0.4805880999920191,"[5, 1, 4, 0, 7, 7, 3, 0]",exponential,1.0,0.05,0.001,0.976257002499074,1.0,8192
126,32,25.0,0.6115979999885894,"[0, 2, 4, 2, 7, 1, 3, 0]",exponential,1.0,0.05,0.001,0.9698829353252778,1.0,8192
